[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] GET    /favicon.ico              --> github.com/gin-gonic/gin.(*RouterGroup).StaticFile.func1 (3 handlers)
[GIN-debug] HEAD   /favicon.ico              --> github.com/gin-gonic/gin.(*RouterGroup).StaticFile.func1 (3 handlers)
[GIN-debug] GET    /status                   --> main.main.func2 (3 handlers)
[GIN-debug] GET    /user/:name               --> main.main.func3 (3 handlers)
[GIN-debug] GET    /user/:name/*action       --> main.main.func4 (3 handlers)
[GIN-debug] GET    /panic                    --> main.main.func5 (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Environment variable PORT is undefined. Using port :8080 by default
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2022/03/14 - 17:30:52 | 200 |  32.57833801s |             ::1 | GET      "/user/john/blow222"
[GIN] 2022/03/14 - 17:31:23 | 500 |     7.51982ms |             ::1 | GET      "/panic"
[GIN] 2022/03/16 - 00:21:31 | 404 |       8.669µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:22:37 | 404 |       1.821µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:22:37 | 404 |       1.798µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:22:37 | 404 |       1.861µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:22:37 | 404 |       1.608µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:22:44 | 404 |       1.892µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:22:44 | 404 |       1.605µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:22:44 | 404 |       2.016µs |   172.18.192.39 | GET      "/html/nhome.html"
[GIN] 2022/03/16 - 00:22:44 | 404 |       1.941µs |   172.18.192.39 | GET      "/api/hpe-restapi.json"
[GIN] 2022/03/16 - 00:22:58 | 404 |       2.088µs |   172.18.192.39 | GET      "/favicon2.iso"
[GIN] 2022/03/16 - 00:22:58 | 404 |        1.65µs |   172.18.192.39 | GET      "/favicon.iso"
[GIN] 2022/03/16 - 00:23:01 | 404 |       1.953µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:01 | 404 |       2.088µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:01 | 404 |       1.895µs |   172.18.192.39 | GET      "/properties/description.dhtml"
[GIN] 2022/03/16 - 00:23:01 | 404 |       1.871µs |   172.18.192.39 | GET      "/properties/configuration.php?tab=Status"
[GIN] 2022/03/16 - 00:23:01 | 404 |           2µs |   172.18.192.39 | GET      "/header.php?tab=status"
[GIN] 2022/03/16 - 00:23:01 | 404 |       2.005µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:01 | 404 |       1.932µs |   172.18.192.39 | GET      "/aboutprinter.html"
[GIN] 2022/03/16 - 00:23:01 | 404 |        1.94µs |   172.18.192.39 | GET      "/properties/configuration.php?tab=Status"
[GIN] 2022/03/16 - 00:23:01 | 404 |       2.065µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:01 | 404 |       2.219µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:01 | 404 |       1.954µs |   172.18.192.39 | HEAD     "/"
[GIN] 2022/03/16 - 00:23:01 | 404 |        1.62µs |   172.18.192.39 | HEAD     "/"
[GIN] 2022/03/16 - 00:23:01 | 404 |       1.875µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.858µs |   172.18.192.39 | GET      "/login.php"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.799µs |   172.18.192.39 | GET      "/this_server/all_settings.shtml"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.858µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.852µs |   172.18.192.39 | GET      "/authenticate/login"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.771µs |   172.18.192.39 | GET      "/start.js"
[GIN] 2022/03/16 - 00:23:02 | 404 |        1.65µs |   172.18.192.39 | GET      "/tmui/"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.892µs |   172.18.192.39 | GET      "/login"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.943µs |   172.18.192.39 | GET      "/netmri/config/userAdmin/login.tdf"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.759µs |   172.18.192.39 | GET      "/scgi-bin/platform.cgi"
[GIN] 2022/03/16 - 00:23:02 | 404 |         1.8µs |   172.18.192.39 | GET      "/admin/login.do"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.764µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.841µs |   172.18.192.39 | GET      "/en/main.js"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.653µs |   172.18.192.39 | GET      "/login.html"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.835µs |   172.18.192.39 | GET      "/mgmt/login?dest=%2Fmgmt%2Fgui%3Fp%3Dhome&reason=&username="
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.988µs |   172.18.192.39 | GET      "/dms2/Login.jsp"
[GIN] 2022/03/16 - 00:23:02 | 404 |        1.91µs |   172.18.192.39 | GET      "/login"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.709µs |   172.18.192.39 | GET      "/home.htm"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.911µs |   172.18.192.39 | GET      "/sws/data/sws_data.js"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.685µs |   172.18.192.39 | GET      "/wcd/system.xml"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.929µs |   172.18.192.39 | GET      "/js/Device.js"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.864µs |   172.18.192.39 | GET      "/ptz.htm"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.206µs |   172.18.192.39 | GET      "/admin/login.jsp"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.591µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.061µs |   172.18.192.39 | GET      "/loginMsg.js"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.674µs |   172.18.192.39 | GET      "/Home.do"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.053µs |   172.18.192.39 | GET      "/check_proxy.html"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.247µs |   172.18.192.39 | GET      ""
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.125µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.478µs |   172.18.192.39 | GET      "/admin_ui/mas/ent/login.html"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.139µs |   172.18.192.39 | GET      "/intruvert/jsp/admin/Login.jsp"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.176µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.886µs |   172.18.192.39 | GET      "//"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.726µs |   172.18.192.39 | GET      "/commoncgi/servlet/CCGIServlet?ApHost=PDT_InterScan_NT&CGIAlias=PDT_InterScan_NT&File=logout.htm"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.311µs |   172.18.192.39 | GET      "/xmldata?item=All"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.163µs |   172.18.192.39 | GET      "/upnp/BasicDevice.xml"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.049µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.054µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.412µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.014µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.287µs |   172.18.192.39 | GET      "/MSWSMTP/Common/Authentication/Logon.aspx"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.164µs |   172.18.192.39 | GET      "/robots.txt"
[GIN] 2022/03/16 - 00:23:02 | 404 |      45.774µs |   172.18.192.39 | GET      "/sitemap.xml"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.095µs |   172.18.192.39 | GET      "/.cobalt"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.656µs |   172.18.192.39 | GET      "/admin.back"
[GIN] 2022/03/16 - 00:23:02 | 404 |       2.334µs |   172.18.192.39 | GET      "/file"
[GIN] 2022/03/16 - 00:23:02 | 404 |       1.926µs |   172.18.192.39 | GET      "/wavemaster.internal"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.759µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.641µs |   172.18.192.39 | VSQVRO   "/"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.872µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.616µs |   172.18.192.39 | OPTIONS  "/"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.804µs |   172.18.192.39 | GET      "/cGlHC5Yb_Ne6.html"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.635µs |   172.18.192.39 | GET      "/cGlHC5Yb_Ne6.cgi"
[GIN] 2022/03/16 - 00:23:03 | 404 |       2.073µs |   172.18.192.39 | GET      "/cGlHC5Yb_Ne6.sh"
[GIN] 2022/03/16 - 00:23:03 | 404 |       2.011µs |   172.18.192.39 | GET      "/cGlHC5Yb_Ne6.pl"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.938µs |   172.18.192.39 | GET      "/cGlHC5Yb_Ne6.inc"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.999µs |   172.18.192.39 | GET      "/cGlHC5Yb_Ne6.shtml"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.946µs |   172.18.192.39 | GET      "/cGlHC5Yb_Ne6.asp"
[GIN] 2022/03/16 - 00:23:03 | 404 |       2.017µs |   172.18.192.39 | GET      "/cGlHC5Yb_Ne6.php"
[GIN] 2022/03/16 - 00:23:03 | 404 |        1.84µs |   172.18.192.39 | GET      "/cGlHC5Yb_Ne6.php3"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.962µs |   172.18.192.39 | GET      "/cGlHC5Yb_Ne6.cfm"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.991µs |   172.18.192.39 | GET      "/cgi-bin/cGlHC5Yb_Ne6.html"
[GIN] 2022/03/16 - 00:23:03 | 404 |       2.108µs |   172.18.192.39 | GET      "/cgi-bin/cGlHC5Yb_Ne6.cgi"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.671µs |   172.18.192.39 | GET      "/cgi-bin/cGlHC5Yb_Ne6.sh"
[GIN] 2022/03/16 - 00:23:03 | 404 |        1.65µs |   172.18.192.39 | GET      "/cgi-bin/cGlHC5Yb_Ne6.pl"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.877µs |   172.18.192.39 | GET      "/cgi-bin/cGlHC5Yb_Ne6.inc"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.973µs |   172.18.192.39 | GET      "/cgi-bin/cGlHC5Yb_Ne6.shtml"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.867µs |   172.18.192.39 | GET      "/cgi-bin/cGlHC5Yb_Ne6.asp"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.864µs |   172.18.192.39 | GET      "/cgi-bin/cGlHC5Yb_Ne6.php"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.845µs |   172.18.192.39 | GET      "/cgi-bin/cGlHC5Yb_Ne6.php3"
[GIN] 2022/03/16 - 00:23:03 | 404 |       1.521µs |   172.18.192.39 | GET      "/cgi-bin/cGlHC5Yb_Ne6.cfm"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.959µs |   172.18.192.39 | GET      "/scripts/cGlHC5Yb_Ne6.html"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.552µs |   172.18.192.39 | GET      "/scripts/cGlHC5Yb_Ne6.cgi"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.703µs |   172.18.192.39 | GET      "/scripts/cGlHC5Yb_Ne6.sh"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.827µs |   172.18.192.39 | GET      "/scripts/cGlHC5Yb_Ne6.pl"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.944µs |   172.18.192.39 | GET      "/scripts/cGlHC5Yb_Ne6.inc"
[GIN] 2022/03/16 - 00:23:04 | 404 |       2.007µs |   172.18.192.39 | GET      "/scripts/cGlHC5Yb_Ne6.shtml"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.999µs |   172.18.192.39 | GET      "/scripts/cGlHC5Yb_Ne6.asp"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.751µs |   172.18.192.39 | GET      "/scripts/cGlHC5Yb_Ne6.php"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.714µs |   172.18.192.39 | GET      "/scripts/cGlHC5Yb_Ne6.php3"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.754µs |   172.18.192.39 | GET      "/scripts/cGlHC5Yb_Ne6.cfm"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.883µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:04 | 404 |        2.04µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.629µs |   172.18.192.39 | GET      "/js/zimbraMail/share/model/ZmSettings.js"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.833µs |   172.18.192.39 | TRACE    "/Nessus1368905612.html"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.809µs |   172.18.192.39 | TRACK    "/Nessus1368905612.html"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.989µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:04 | 404 |       2.051µs |   172.18.192.39 | GET      "/xampp/index.php"
[GIN] 2022/03/16 - 00:23:04 | 404 |       2.235µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.769µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.929µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.973µs |   172.18.192.39 | GET      "/Wsusadmin/Errors/BrowserSettings.aspx"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.822µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:04 | 404 |       2.004µs |   172.18.192.39 | GET      "/wsman-anon"
[GIN] 2022/03/16 - 00:23:04 | 404 |        1.72µs |   172.18.192.39 | GET      "/wsman"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.937µs |   172.18.192.39 | GET      "/"
[GIN] 2022/03/16 - 00:23:04 | 404 |       1.751µs |   172.18.192.39 | GET      "/nessus345678.html"
